ticker	nome	segmento	tipoGestao	cotacao	patrimonioLiquido	vpPorCota	ultimoRendimento	p_vp	negociacoesDiarias	ultimoDividendYield	dividendYieldL52W_media	dividendYieldL52W_mediana	dividendYieldL52W_desvioPadrao	dividendYieldL52W_coefVariacao	dividendYieldL52W_tamAmostra	dividendYieldL52W_dataRefMaisRecente
GAME11	FDO DE INVEST IMOB GUARDIAN MULTIESTRATÉGIA I	Híbrido	2.060.000	R$ 104,00	R$ 205,1 mi	R$ 99,57	0,00%	1,04	20	0,00%	0,00000	0,00000	0,00000	0	2	Novembro/2021
GCFF11	GALAPAGOS FUNDO DE FUNDOS - FII FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	80.430	R$ 74,61	R$ 28,9 mi	R$ 85,47	0,18%	0,87	185	0,95%	0,00855	0,00896	0,00088	0	15	Novembro/2021
GCRI11	GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	860.614	R$ 98,80	R$ 99,9 mi	R$ 99,88	1,50%	0,99	403	1,14%	0,01017	0,01020	0,00062	0	8	Novembro/2021
GESE11B	FUNDO DE INVESTIMENTO IMOBILIARIO GENERAL SEVERIANO	Outros	38.868	R$ 1.520,00	R$ 86,2 mi	R$ 1.656,98	0,00%	0,92	300	0,00%	0,00000	0,00000	0,00000	0	2	Junho/2021
GGRC11	GGR COVEPI RENDA FDO INV IMOB	Logística	1.413.807	R$ 112,16	R$ 1 bi	R$ 134,02	8,60%	0,84	13.273	0,72%	0,00635	0,00685	0,00103	0	57	Dezembro/2021
GLPL11	GLP LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO	N/A	10.719.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
GRLV11	CSHG GR LOUVEIRA FDO DE INV IMOB - FII	Logística	107.353	R$ 145,50	R$ 6,4 mi	R$ 5,97	0,00%	24,38	54.618	0,00%	0,03283	0,00532	0,09692	0	60	Dezembro/2020
GSFI11	GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI	Shoppings	68.482.196	R$ 4,50	R$ 901,7 mi	R$ 13,17	0,03%	0,34	11.236	0,03%	0,00028	0,00028	0,00000	0	1	Junho/2020
GTLG11	GTIS BRAZIL LOGISTICS FDO. INV. IMOB.	N/A	13.426.100	R$ 99,97	R$ 711,2 mi	R$ 99,14	0,70%	1,01	7	0,70%	0,00348	0,00348	0,00348	0	2	Novembro/2021
GTWR11	FDO INV IMOB GREEN TOWERS	Lajes Corporativas	12.000.000	R$ 83,89	R$ 1,2 bi	R$ 100,92	25,26%	0,83	10.083	0,83%	0,00703	0,00664	0,00101	0	32	Dezembro/2021
HAAA11	HEDGE AAA FUNDO DE INVESTIMENTO IMOBILIÁRIO	Lajes Corporativas	2.710.000	R$ 96,00	R$ 325,8 mi	R$ 94,29	3,67%	1,02	10	0,56%	0,00540	0,00536	0,00026	0	10	Dezembro/2021
HABT11	HABITAT II - FDO INT IMOB	Títulos e Val. Mob.	2.000.000	R$ 106,68	R$ 721,6 mi	R$ 97,22	0,46%	1,10	15.295	1,18%	0,01273	0,01246	0,00163	0	28	Dezembro/2021
HBRH11	FUNDO DE INVESTIMENTO IMOBILIÁRIO MULTI RENDA URBANA	Híbrido	2.245.672	R$ 91,73	R$ 295,8 mi	R$ 106,68	10,52%	0,86	740	1,04%	0,00786	0,00702	0,00248	0	22	Dezembro/2021
HBTT11	FDO INV IMOB HABITAT I	Títulos e Val. Mob.	66.567	R$ 1.055,00	R$ 159,7 mi	R$ 886,32	1,91%	1,19	3	1,57%	0,00806	0,00750	0,00314	0	26	Setembro/2020
HCHG11	HECTARE RECEBÍVEIS HIGH GRADE FDO. INV. IMOB.	Outros	1.000.000	R$ 89,00	R$ 113,1 mi	R$ 94,29	-1,33%	0,94	320	0,91%	0,00618	0,00742	0,00307	0	6	Dezembro/2021
HCRI11	FDO INV IMOB - FII HOSPITAL DA CRIANÇA	Hospital	200.000	R$ 338,57	R$ 59,9 mi	R$ 299,43	0,80%	1,13	345	0,80%	0,00733	0,00749	0,00088	0	71	Dezembro/2021
HCST11	HECTARE DESENV. STUDENT HOUSING – FDO. INV. IMOB.	Residencial	109.940	R$ 92,15	R$ 30,1 mi	R$ 104,99	N/A	0,88	1	N/A	
HCTR11	HECTARE CE - FDO INV IMOB	Outros	9.414	R$ 126,87	R$ 2,3 bi	R$ 117,69	1,30%	1,08	47.060	1,31%	0,01371	0,01334	0,00154	0	29	Novembro/2021
HFOF11	HEDGE TOP FOFII 3 FDO INV IMOB	Títulos e Val. Mob.	15.850.000	R$ 81,50	R$ 1,9 bi	R$ 82,57	5,36%	0,99	21.545	0,73%	0,00647	0,00638	0,00077	0	45	Dezembro/2021
HGBS11	HEDGE BRASIL SHOPPING FDO INV IMOB	Shoppings	45.000	R$ 181,89	R$ 2,1 bi	R$ 211,23	21,47%	0,86	4.638	0,57%	0,00369	0,00370	0,00145	0	72	Dezembro/2021
HGCR11	CSHG RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB - FII	Títulos e Val. Mob.	30.000	R$ 105,00	R$ 1,3 bi	R$ 102,35	4,42%	1,03	19.896	1,18%	0,00812	0,00751	0,00227	0	72	Dezembro/2021
HGFF11	CSHG IMOB. FOF - FDO INV. IMOB. - FII	Títulos e Val. Mob.	1.800.000	R$ 75,20	R$ 242 mi	R$ 84,50	15,28%	0,89	3.861	0,76%	0,00674	0,00616	0,00112	0	29	Dezembro/2021
HGIC11	HGI CRÉDITOS IMOBILIÁRIOS FDO. INV. IMOB.	Títulos e Val. Mob.	128.339	R$ 105,50	R$ 24,7 mi	R$ 106,17	-1,36%	0,99	9.198	1,07%	0,00750	0,00800	0,00297	0	10	Dezembro/2021
HGLG11	CSHG LOGÍSTICA FDO INV IMOB - FII	Logística	7.881.340	R$ 167,90	R$ 3,1 bi	R$ 147,50	7,69%	1,14	32.743	1,03%	0,00729	0,00659	0,00318	0	72	Dezembro/2021
HGPO11	CSHG PRIME OFFICES FDO INV IMOB - FII	Lajes Corporativas	165.000	R$ 239,99	R$ 472,7 mi	R$ 269,64	8,85%	0,89	825	0,56%	0,00530	0,00549	0,00080	0	72	Dezembro/2021
HGRE11	CSHG REAL ESTATE FDO INV IMOB - FII	Lajes Corporativas	40.000	R$ 130,01	R$ 2 bi	R$ 166,56	15,72%	0,78	20.379	2,02%	0,00673	0,00527	0,00416	0	72	Dezembro/2021
HGRS11	CSHG RESIDENCIAL FDO DE INV IMOB - FII	Residencial	1.492.940	N/A	R$ 95,1 mi	R$ 79,63	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	1	Dezembro/2021
HGRU11	CSHG RENDA URBANA - FDO INV IMOB - FII	Híbrido	1.500.000	R$ 111,61	R$ 2,2 bi	R$ 118,37	10,59%	0,94	39.470	0,64%	0,00606	0,00598	0,00065	0	42	Dezembro/2021
HLOG11	HEDGE LOGÍSTICA FDO. INV. IMOB.	Logística	4.250.000	R$ 94,00	R$ 483,2 mi	R$ 113,70	-0,62%	0,83	434	0,66%	0,00582	0,00565	0,00044	0	23	Dezembro/2021
HMOC11	HEDGE SHOPPING PRAÇA DA MOÇA FDO INV IMOB	Shoppings	382.017	R$ 226,95	R$ 91,2 mi	R$ 238,79	10,49%	0,95	115	10,49%	0,05089	0,00441	0,06815	0	67	Março/2021
HOSI11	FDO. INV. IMOB. HOUSI	Híbrido	573.450	R$ 73,00	R$ 53 mi	R$ 92,34	-0,58%	0,79	44	0,75%	0,00653	0,00666	0,00064	0	22	Dezembro/2021
HPDP11	HEDGE SHOPPING PARQUE DOM PEDRO FUNDO DE INVESTIMENTO IMOBILIÁRIO	Shoppings	2.808.813	R$ 80,49	R$ 279,7 mi	R$ 96,15	2,12%	0,84	4	0,63%	0,00339	0,00389	0,00174	0	22	Dezembro/2021
HRDF11	HEDGE REALTY DEVELOPMENT FDO INV IMOB	Híbrido	7.587.125	R$ 1,14	R$ 9,4 mi	R$ 1,24	N/A	0,92	111	N/A	nan	nan	nan	0	0	N/A
HREC11	HEDGE RECEBÍVEIS FDO. INVEST. IMOB.	Títulos e Val. Mob.	2.794.900	R$ 98,10	R$ 268,1 mi	R$ 94,19	2,36%	1,04	16	1,02%	0,00727	0,00769	0,00340	0	14	Dezembro/2021
HSAF11	HSI ATIVOS FINANCEIROS - FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	903.158	R$ 93,47	R$ 166,4 mi	R$ 93,80	7,10%	1,00	2.158	1,06%	0,01009	0,01055	0,00128	0	16	Dezembro/2021
HSLG11	HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO	Logística	12.660.067	R$ 92,31	R$ 1,4 bi	R$ 112,80	22,55%	0,82	6.774	0,60%	0,00587	0,00571	0,00068	0	12	Dezembro/2021
HSML11	HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO	Shoppings	6.750.000	R$ 80,49	R$ 1,5 bi	R$ 95,12	17,15%	0,85	19.142	0,64%	0,00510	0,00530	0,00161	0	29	Dezembro/2021
HSRE11	HSI RENDA IMOB FDO INV IMOB	Híbrido	6.565.290	R$ 100,00	R$ 830,8 mi	R$ 97,54	2,43%	1,03	14	0,88%	0,00356	0,00551	0,00313	0	12	Dezembro/2021
HTMX11	FDO INV IMOB - FII HOTEL MAXINVEST	Hotel	714.516	R$ 90,01	R$ 163,9 mi	R$ 130,37	-28,14%	0,69	1.844	0,00%	0,00453	0,00454	0,00230	0	51	Março/2020
HUSC11	FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA	Outros	721.821	R$ 113,00	R$ 113,2 mi	R$ 142,42	4,75%	0,79	162	0,49%	0,00557	0,00543	0,00071	0	32	Dezembro/2021
HUSI11	HUSI FDO INV. IMOB.	Hospital	90.082	R$ 1.050,00	R$ 100,6 mi	R$ 955,14	N/A	1,10	1	N/A	
IBCR11	FDO DE INV IMOBILIÁRIO DE CRI INTEGRAL BREI	Títulos e Val. Mob.	802.921	R$ 96,50	R$ 80,2 mi	R$ 99,85	3,54%	0,97	2.871	1,57%	0,01585	0,01585	0,00015	0	2	Novembro/2021
IBFF11	FDO INV. IMOB. FOF INTEGRAL BREI	Títulos e Val. Mob.	666.681	R$ 59,99	R$ 46,7 mi	R$ 69,98	0,60%	0,86	573	0,87%	0,00664	0,00612	0,00182	0	26	Novembro/2021
IDFI11	FDO INV IMOBILIÁRIO DE UNIDADES AUTÔNOMAS	Híbrido	123.925	R$ 102,00	R$ 209,3 mi	R$ 101,70	1,66%	1,00	15	1,66%	0,01791	0,01791	0,00132	0	2	Dezembro/2021
IFID11	IFI-D FUNDO DE INVESTIMENTO IMOBILIARIO - FII	Títulos e Val. Mob.	748.151	R$ 80,06	R$ 64,7 mi	R$ 86,49	6,20%	0,93	350	1,20%	0,00958	0,00954	0,00151	0	10	Dezembro/2021
IFIE11	IFI-E FUNDO DE INVESTIMENTO IMOBILIARIO - FII	Títulos e Val. Mob.	900.494	R$ 71,98	R$ 67,1 mi	R$ 74,49	1,38%	0,97	1.082	0,75%	0,00535	0,00453	0,00133	0	13	Dezembro/2021
IRDM11	FII IRIDIUM RECEBÍVEIS IMOBILIÁRIOS	Títulos e Val. Mob.	1.080.000	R$ 107,17	R$ 2,7 bi	R$ 96,16	-2,52%	1,11	45.727	1,08%	0,00969	0,00924	0,00134	0	45	Novembro/2021
IRIM11	IRIDIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	1.300.000	R$ 113,00	R$ 129,7 mi	R$ 99,79	0,88%	1,13	249	1,23%	0,01252	0,01252	0,00019	0	2	Novembro/2021
JFLL11	JFL LIVING FDO. INV. IMOB.	Residencial	2.200.000	R$ 74,04	R$ 145,2 mi	R$ 96,79	15,87%	0,76	1.786	0,81%	0,00747	0,00735	0,00089	0	11	Dezembro/2021
JGPX11	FDO INV CADEIAS PROD AGROIND JGP CRED FIAGRO IMOB	Híbrido	848.097	R$ 98,00	R$ 81 mi	R$ 95,53	N/A	1,03	683	N/A	nan	nan	nan	0	0	N/A
JPPA11	JPP ALLOCATON MOGNO FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	505.572	R$ 98,40	R$ 62,4 mi	R$ 103,28	3,77%	0,95	144	1,42%	0,01023	0,01050	0,00182	0	18	Dezembro/2021
JRDM11	FII SHOPPING JARDIM SUL	Shoppings	2.223.060	R$ 69,02	R$ 221,6 mi	R$ 87,83	-3,21%	0,79	2.764	0,84%	0,00330	0,00310	0,00210	0	68	Outubro/2021
JSAF11	JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO	N/A	N/A	R$ 96,59	R$ 149 mi	R$ 94,74	N/A	1,02	165	N/A	
JSRE11	JS REAL ESTATE MULTIGESTÃO - FII	Híbrido	60.000	R$ 80,40	R$ 2,4 bi	R$ 113,24	19,16%	0,71	17.033	0,64%	0,00611	0,00592	0,00068	0	72	Dezembro/2021
KEVE11	EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO	Residencial	146.496	R$ 1.100,00	R$ 148,2 mi	R$ 1.003,49	N/A	1,10	45	N/A	nan	nan	nan	0	0	N/A
KFOF11	FUNDO DE FDO INV IMOB KINEA FII	Títulos e Val. Mob.	1.317.933	R$ 74,45	R$ 396,4 mi	R$ 87,45	13,35%	0,85	3.514	0,79%	0,00654	0,00627	0,00140	0	40	Dezembro/2021
KINP11	EVEN PERMUTA KINEA FII - FDO INV IMOB	Residencial	7.281.700	R$ 14,00	R$ 54,2 mi	R$ 7,59	1,35%	1,85	61	1,35%	0,01352	0,01352	0,00000	0	1	Dezembro/2021
KISU11	KILIMA FIC FDO. IMOB. SUNO 30	Títulos e Val. Mob.	4.419.605	R$ 8,03	R$ 379,7 mi	R$ 8,59	8,51%	0,93	87.523	0,87%	0,00677	0,00677	0,00100	0	12	Dezembro/2021
KNCR11	KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII	Títulos e Val. Mob.	200.000	R$ 101,16	R$ 3,9 bi	R$ 100,87	4,09%	1,00	33.734	0,80%	0,00477	0,00483	0,00146	0	72	Dezembro/2021
KNHY11	KINEA HIGH YIELD CRI FDO INV IMOB - FII	Títulos e Val. Mob.	4.000.000	R$ 105,32	R$ 1,4 bi	R$ 96,81	4,89%	1,09	44.937	1,37%	0,01140	0,01103	0,00150	0	38	Dezembro/2021
KNIP11	KINEA ÍNDICES DE PREÇOS FDO INV IMOB - FII	Títulos e Val. Mob.	4.000.000	R$ 102,15	R$ 7,1 bi	R$ 99,17	4,19%	1,03	123.715	1,43%	0,01128	0,01116	0,00181	0	64	Dezembro/2021
KNRE11	KINEA II REAL ESTATE EQUITY FDO INV IMOB	Residencial	10.000	R$ 1,70	R$ 36,7 mi	R$ 1,98	9,41%	0,86	933	3,92%	0,00757	0,00594	0,01044	0	48	Outubro/2019
KNRI11	KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII	Híbrido	258.979	R$ 133,91	R$ 3,8 bi	R$ 157,22	11,87%	0,85	31.240	0,62%	0,00498	0,00492	0,00064	0	73	Dezembro/2021
KNSC11	KINEA SECURITIES FDO. DE INV. IMOB. - FII	Títulos e Val. Mob.	2.632.885	R$ 99,70	R$ 717,4 mi	R$ 90,40	5,55%	1,10	24.057	1,44%	0,01104	0,01015	0,00204	0	13	Dezembro/2021
LASC11	LEGATUS SHOPPINGS FDO. INV. IMOB. - FII	Shoppings	2.518.195	R$ 89,98	R$ 258,3 mi	R$ 102,59	0,63%	0,88	1	0,64%	0,00518	0,00542	0,00143	0	20	Dezembro/2021
LFTT11	LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO	Residencial	2.000.000	R$ 109,99	R$ 428,1 mi	R$ 60,94	N/A	1,80	55	N/A	nan	nan	nan	0	0	N/A
LGCP11	LOGCP INTER FDO INV IMOB	Logística	1.762.843	R$ 82,97	R$ 270,5 mi	R$ 98,99	9,41%	0,84	810	0,67%	0,00586	0,00603	0,00097	0	25	Dezembro/2021
LUGG11	LUGGO FDO. INV. IMOB.	Residencial	900.000	R$ 83,65	R$ 112,4 mi	R$ 124,89	5,12%	0,67	300	0,65%	0,00542	0,00526	0,00060	0	25	Dezembro/2021
LVBI11	FDO INV IMOB - VBI LOGÍSTICO	Logística	3.030.000	R$ 100,45	R$ 1,4 bi	R$ 114,83	19,41%	0,87	18.872	0,69%	0,00561	0,00548	0,00120	0	37	Novembro/2021
MALL11	MALLS BRASIL PLURAL FDO INV IMOB	Shoppings	1.860.134	R$ 96,78	R$ 782,9 mi	R$ 103,56	16,02%	0,93	8.739	0,67%	0,00570	0,00588	0,00089	0	49	Dezembro/2021
MATV11	MORE GESTÃO ATIVA DE RECEBÍVEIS FDO DE INV IMOB	Títulos e Val. Mob.	347.280	R$ 99,96	R$ 33 mi	R$ 95,09	0,00%	1,05	10	0,00%	0,00000	0,00000	0,00000	0	2	Novembro/2021
MAXR11	FDO INV IMOB - FII MAX RETAIL	Outros	59.245	R$ 83,02	R$ 132,6 mi	R$ 117,82	-3,14%	0,70	1.932	0,73%	0,00725	0,00623	0,00323	0	69	Outubro/2021
MBRF11	FDO INV IMOB MERCANTIL DO BRASIL - FII	Outros	101.664	R$ 795,13	R$ 113,5 mi	R$ 1.116,23	1,19%	0,71	123	1,19%	0,00924	0,00862	0,00207	0	72	Janeiro/2022
MCCI11	FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS - FII	Títulos e Val. Mob.	5.462.000	R$ 102,79	R$ 1,3 bi	R$ 102,58	2,64%	1,00	36.600	0,98%	0,00819	0,00874	0,00164	0	26	Novembro/2021
MCFF11	MAUÁ CAPITAL FOF – FDO. INVEST. IMOB.	N/A	1.500.000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
MCHF11	MAUÁ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	8.307.646	R$ 9,98	R$ 78,6 mi	R$ 9,46	0,10%	1,05	5.565	1,19%	0,01085	0,01085	0,00104	0	2	Novembro/2021
MCHY11	FDO DE INV IMOB MAUÁ CAPITAL HIGH YIELD - FII	Títulos e Val. Mob.	3.537.064	R$ 120,00	R$ 358,5 mi	R$ 101,36	-0,12%	1,18	2	1,10%	0,00671	0,01083	0,00549	0	5	Novembro/2021
MFAI11	MERITO FDO. AÇÕES IMOB. FII - FDO INV. IMOB.	Híbrido	28.000	R$ 74,64	R$ 23,3 mi	R$ 77,01	14,70%	0,97	59	1,44%	0,00835	0,00797	0,00203	0	18	Dezembro/2021
MFII11	MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I - FII	Híbrido	57.000	R$ 105,50	R$ 420,6 mi	R$ 101,42	8,73%	1,04	4.744	1,11%	0,00921	0,00857	0,00154	0	73	Dezembro/2021
MFVI11	FDO INV IMOB MV9 - FII	Híbrido	77.850.000	N/A	R$ 132,1 mi	R$ 1,69	N/A	N/A	N/A	N/A	
MGCR11	FDO. INVEST. IMOB. MOGNO CRI HIGH GRADE	Títulos e Val. Mob.	1.422.304	R$ 87,93	R$ 136 mi	R$ 95,65	2,27%	0,92	1.217	1,12%	0,00854	0,00889	0,00121	0	14	Novembro/2021
MGFF11	FUNDO DE INVESTIMENTO IMOBILIARIO MOGNO FUNDO DE FUNDOS	Títulos e Val. Mob.	1.205.927	R$ 64,87	R$ 670,1 mi	R$ 74,04	-1,26%	0,88	7.500	0,79%	0,00717	0,00735	0,00049	0	44	Novembro/2021
MGHT11	FDO. INV. IMOB. MOGNO HOTEIS	Hotel	833.196	R$ 89,75	R$ 131,6 mi	R$ 100,14	-6,81%	0,90	126	0,95%	0,00701	0,00632	0,00149	0	20	Novembro/2021
MGLG11	MOGNO LOGÍSTICA FUNDO DE INVEST. IMOBILIARIO - FII	Logística	1.500.000	R$ 54,60	R$ 113,4 mi	R$ 98,20	-24,14%	0,56	1.377	0,93%	0,00573	0,00629	0,00426	0	4	Outubro/2021
MINT11	FUNDO DE INVESTIMENTO IMOBILIÁRIO MINT EDUCACIONAL	Híbrido	520.000	R$ 100,00	R$ 63,2 mi	R$ 121,37	N/A	0,82	86	N/A	
MOFF11	MULTIOFFICES 2 - FDO. INV. IMOB.	Híbrido	300.000	N/A	R$ 157,2 mi	R$ 800,65	N/A	N/A	N/A	N/A	
MORC11	MORE RECEBÍVEIS IMOBILIÁRIOS FII FUNDO DE INVESTIMENTO IMOBILIÁRIO	Títulos e Val. Mob.	1.000.000	R$ 99,74	R$ 79,2 mi	R$ 101,54	1,25%	0,98	141	1,25%	0,00417	0,00000	0,00589	0	3	Novembro/2021
MORE11	MORE REAL ESTATE FOF FII FDO. INV. IMOB.	Títulos e Val. Mob.	583.842	R$ 77,99	R$ 202,7 mi	R$ 87,39	-5,10%	0,89	4.373	0,90%	0,00742	0,00805	0,00140	0	20	Novembro/2021
MXRF11	MAXI RENDA FDO INV IMOB - FII	Híbrido	538.834	R$ 9,92	R$ 2,3 bi	R$ 10,09	1,20%	0,98	369.923	0,90%	0,00762	0,00753	0,00074	0	72	Dezembro/2021
NAVT11	NAVI IMOBILIÁRIO TOTAL RETURN FDO. INVEST. IMOB.	Títulos e Val. Mob.	1.500.000	R$ 73,49	R$ 92 mi	R$ 87,20	1,33%	0,84	97	0,83%	0,00732	0,00794	0,00143	0	7	Novembro/2021
NCHB11	FDO INV IMOB - FII NCH BRASIL RECEBÍVEIS IMOB	Títulos e Val. Mob.	123.000	R$ 95,78	R$ 134,2 mi	R$ 93,06	0,91%	1,03	2.692	0,92%	0,00664	0,00704	0,00438	0	18	Junho/2021
NEWL11	NEWPORT LOGÍSTICA FDO INV. IMOB.	Híbrido	855.793	R$ 101,97	R$ 236,5 mi	R$ 116,32	8,73%	0,88	911	1,31%	0,00869	0,00850	0,00149	0	24	Dezembro/2021
NEWU11	NEWPORT RENDA URBANA FDO INV IMOB	Lajes Corporativas	742.000	R$ 34,00	R$ 45,6 mi	R$ 61,49	-4,04%	0,55	46	0,00%	0,01299	0,00077	0,04101	0	56	Julho/2020
NSLU11	FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES	Hospital	1.144.800	R$ 223,68	R$ 244,4 mi	R$ 213,49	13,14%	1,05	429	0,82%	0,00763	0,00761	0,00110	0	72	Novembro/2021
NVHO11	FDO INV IMOB - FII NOVO HORIZONTE	Hospital	41.494.533	R$ 11,82	R$ 514,9 mi	R$ 12,41	3,70%	0,95	67	0,65%	0,00574	0,00567	0,00178	0	67	Dezembro/2021
NVIF11B	NOVA I - FDO INV IMOB - FII	Outros	337.400	N/A	R$ 60,8 mi	R$ 180,09	0,00%	N/A	N/A	0,00%	0,00000	0,00000	0,00000	0	24	Dezembro/2021
ONEF11	FDO INV IMOB THE ONE	Lajes Corporativas	32.100	R$ 136,00	R$ 159,1 mi	R$ 174,59	0,63%	0,78	231	0,63%	0,00492	0,00500	0,00053	0	71	Janeiro/2022
ORPD11	OURO PRETO DESENV IMOB I FDO INV IMOB - FII	Títulos e Val. Mob.	N/A	R$ 129,72	R$ 44,2 mi	R$ 152,36	N/A	0,85	1	N/A	nan	nan	nan	0	0	N/A
OUFF11	FDO INV IMOB - OURINVEST FUNDO DE FUNDOS	Títulos e Val. Mob.	671.598	R$ 69,42	R$ 137,3 mi	R$ 75,70	12,33%	0,92	1.506	0,90%	0,00841	0,00830	0,00116	0	29	Novembro/2021
OUJP11	OURINVEST JPP FDO INV IMOB - FII	Títulos e Val. Mob.	720.000	R$ 88,65	R$ 330,6 mi	R$ 101,63	10,27%	0,87	5.976	1,03%	0,00855	0,00854	0,00201	0	60	Dezembro/2021
OULG11	FDO INV IMOB OURINVEST LOGÍSTICA	Outros	1.061.694	R$ 54,87	R$ 230,8 mi	R$ 93,01	-3,02%	0,59	615	0,96%	0,00757	0,00736	0,00090	0	32	Novembro/2021
OURE11	FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST RENDA ESTRUTURADA	Títulos e Val. Mob.	533.916	R$ 86,50	R$ 99,1 mi	R$ 91,97	1,54%	0,94	1.142	1,26%	0,00968	0,00920	0,00223	0	43	Novembro/2021
PABY11	FDO INV IMOB PANAMBY	Híbrido	758.400	R$ 11,80	R$ -8,2 mi	R$ -10,87	-19,84%	-1,09	21	0,00%	0,00000	0,00000	0,00000	0	35	Outubro/2018
PATC11	PÁTRIA EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII	Lajes Corporativas	1.502.052	R$ 64,95	R$ 296,5 mi	R$ 85,26	3,69%	0,76	2.048	0,46%	0,00441	0,00464	0,00048	0	33	Dezembro/2021
PATL11	PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO	Híbrido	4.300.000	R$ 74,10	R$ 473,6 mi	R$ 94,89	19,10%	0,78	11.071	0,76%	0,00700	0,00684	0,00103	0	17	Dezembro/2021
PLCR11	FDO INV. IMOB. PLURAL RECEBIVEIS	Híbrido	2.109.169	R$ 89,87	R$ 195,4 mi	R$ 92,65	14,11%	0,97	1.070	1,13%	0,00955	0,00914	0,00127	0	25	Dezembro/2021
PLOG11	PLURAL LOGÍSTICA FDO. INV. IMOB.	Logística	750.000	R$ 76,05	R$ 71,5 mi	R$ 95,32	10,85%	0,80	72	0,97%	0,00843	0,00873	0,00102	0	9	Dezembro/2021
PLRI11	POLO FDO INV IMOB - FII RECEBÍVEIS IMOBILIÁRIOS I	Títulos e Val. Mob.	954.304	R$ 38,55	R$ 42,1 mi	R$ 44,13	-2,02%	0,87	12	0,52%	0,00527	0,00521	0,00167	0	71	Dezembro/2021
PORD11	POLO FDO INV IMOB - RECEBÍVEIS IMOB II - FII	Títulos e Val. Mob.	1.000.000	R$ 95,72	R$ 369,3 mi	R$ 99,04	6,31%	0,97	4.340	1,12%	0,00947	0,00950	0,00120	0	67	Dezembro/2021
PQAG11	PARQUE ANHANGUERA FDO. INVEST. IMOB.	Logística	N/A	R$ 58,90	R$ 795,9 mi	R$ 56,88	-4,96%	1,04	64	0,67%	0,00564	0,00565	0,00048	0	15	Dezembro/2021
PQDP11	FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER	Shoppings	238.477	R$ 2.079,99	R$ 864,5 mi	R$ 3.625,25	9,61%	0,57	71	0,78%	0,00443	0,00540	0,00269	0	65	Novembro/2021
PRSV11	FDO INV IMOB - FII PRESIDENTE VARGAS	Lajes Corporativas	195.000	R$ 112,00	R$ 47,1 mi	R$ 241,49	5,74%	0,46	123	0,42%	0,00494	0,00522	0,00162	0	57	Setembro/2020
PRTS11	MULTI PROPERTIES FDO INV IMOB - FII	Híbrido	51.727.500	N/A	R$ 3,8 mi	R$ 0,07	N/A	N/A	N/A	N/A	
PVBI11	FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI PRIME PROPERTIES	Lajes Corporativas	9.720.000	R$ 89,36	R$ 998,6 mi	R$ 99,46	13,91%	0,90	17.192	0,59%	0,00572	0,00589	0,00055	0	16	Novembro/2021
QAGR11	QUASAR AGRO - FDO INV. IMOB.	Outros	5.040.000	R$ 51,40	R$ 301 mi	R$ 59,71	3,81%	0,86	7.651	0,77%	0,00716	0,00747	0,00099	0	25	Novembro/2021
QAMI11	QUASAR CRÉDITO IMOBILIÁRIO FDO. INV. IMOB.	Híbrido	801.398	R$ 99,80	R$ 73,1 mi	R$ 91,22	4,84%	1,09	882	1,59%	0,01153	0,01134	0,00391	0	9	Dezembro/2021
